Словоформа	Часть речи
анкета	NOUN
начальник	NOUN
областного	ADJ
управления	NOUN
связи	NOUN
семен	PROPN
еремеевич	PROPN
был	AUX
человек	NOUN
простой	ADJ
приходил	VERB
на	ADP
работу	NOUN
всегда	ADV
вовремя	ADV
здоровался	VERB
с	ADP
секретаршей	NOUN
за	ADP
руку	NOUN
и	CCONJ
иногда	ADV
даже	PART
писал	VERB
в	ADP
стенгазету	NOUN
заметки	NOUN
под	ADP
псевдонимом	NOUN
муха	NOUN
приемной	ADJ
его	DET
утра	NOUN
ожидали	VERB
посетители	NOUN
кое-кто	PRON
важными	ADJ
делами	NOUN
а	CCONJ
такими	DET
которые	PRON
легко	ADV
можно	VERB
было	AUX
решить	VERB
нижестоящих	ADJ
инстанциях	NOUN
не	PART
затрудняя	VERB
семена	PROPN
еремеевича	PROPN
однако	CCONJ
стиль	NOUN
работы	NOUN
заключался	VERB
том	DET
чтобы	SCONJ
принимать	VERB
всех	DET
желающих	VERB
лично	ADV
вникать	VERB
дело	NOUN
приемная	ADJ
была	AUX
обставлена	VERB
просто	ADV
но	CCONJ
по-деловому	ADV
у	ADP
двери	NOUN
стоял	VERB
стол	NOUN
секретарши	NOUN
столе	NOUN
пишущая	VERB
машинка	NOUN
широкой	ADJ
кареткой	NOUN
углу	NOUN
висел	VERB
репродуктор	NOUN
играло	VERB
радио	NOUN
для	ADP
развлечения	NOUN
ожидающих	VERB
еще	ADV
того	DET
заглушать	VERB
голос	NOUN
начальника	NOUN
доносившийся	VERB
из	ADP
кабинета	NOUN
так	ADV
как	SCONJ
бесспорно	ADJ
среди	ADP
посетителей	NOUN
могли	VERB
находиться	VERB
случайные	ADJ
люди	NOUN
кабинет	NOUN
отличался	VERB
скромностью	NOUN
присущей	ADJ
семену	PROPN
еремеевичу	PROPN
глубине	NOUN
широкий	ADJ
письменный	ADJ
бронзовыми	ADJ
чернильницами	NOUN
перед	ADP
ним	PRON
два	NUM
кожаных	ADJ
кресла	NOUN
справа	ADV
заседаний	NOUN
длинный	ADJ
накрытый	VERB
зеленым	ADJ
сукном	NOUN
обеих	NUM
сторон	NOUN
аккуратно	ADV
заставленный	VERB
стульями	NOUN
очень	ADV
любил	VERB
когда	SCONJ
этот	DET
